IP address,Colo,Mean Respond Time,Mean Download Speed
"162.159.152.0
","SIN","118.0ms (warm-up)","5783.4 KB/s"
"162.159.160.0
","FRA","686.0ms (warm-up)","4452.3 KB/s"
"162.159.200.0
","","Timeout","Error"
"162.159.224.0
","","Timeout","Error"
"172.64.36.0
","","Timeout","Error"
"173.245.49.0
","SIN","117.0ms (warm-up)","9760.7 KB/s"
"190.93.244.0
","SIN","146.0ms (warm-up)","5901.8 KB/s"
"198.41.208.0
","SIN","125.0ms (warm-up)","5586.3 KB/s"
"198.41.211.0
","SIN","147.0ms (warm-up)","4093.2 KB/s"
"198.41.220.0","SIN","863.0ms (warm-up)","7613.4 KB/s"
