172.245.11.115, 2a09:bac5:55f8:1014::19a:86, US
104.16.0.0,104, 104.16.0.0, RY
104.16.64.0, 104.16.64.0, DE
104.16.96.0, 104.16.96.0, DE
104.16.128.0, 104.16.128.0, NL
